Tweet,Message/tweets,match,polarity
109,European travel ban leaves impact on CanadaUS border unclearIts absolutely critical we keep the borders open,critical,Negative
110,University of Toronto CLOSE ALL CAMPUS of University of Toronto to prevent COVID19 Outbreak Sign the Petition,,Neutral
111,RT Statement from the Estevan Bruins regarding the announcement from HockeyCanada and the SJHL The decision affec,,Neutral
112,RT Canadafuck yeah,,Neutral
113,SERVICE TECHNICIAN Performance Auto Group Is offering a SIGNING BONUS OF UP TO 5000 Plus an annual Tool and Boot Allowance includedApply CanadianAutoRecruit GTA Toronto Canada Technician SigningBonus Bonus Auto Automotive 310S Technician,,Neutral
114,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned events effective March 13 2020FULL RELEASE,effective,Positive
115,RT A very simple thought experiment Would border shutdowns mean more or fewer Coronavirus deaths in CanadaThe answer is obvious Fewer Canadians will die if we shut down our borders nowSo the decision to keep the borders open means putting politics ahead of lives,die,Negative
116,Thats part of the statement on behalf of Hockey Canada from Tom Renney CEO and Scott Smith president and COO on the ongoing coronavirus pandemic and the decision to cancel all Hockey Canada sanctioned events,,Neutral
117,Without question this is an unprecedented period of difficulty for the sports world The health and safety of all participants in sport including players coaches staff officials fans family volunteers and the general public is of the utmost importance to Hockey Canada,difficulty,Negative
118,RT H2DAhere QStorm1111 RippleXrpie At least USA has fake goldCanada has no gold or fake gold and the dollar isnt worth the paper that was printed on Trudeau sold everything to support his seekers,fake,Negative
119,RT In extraordinary move BC officials ask retired doctors to reregister in case COVID19 worsensThis is a VERY BAD IDEA Elderly doctors will be the first among Canadians to catch the virus and are at the greatest risk of deathCdnHealth,extraordinary,Positive
120,RT This is outrageous There is NO excuse for not treating or testing someone who is obviously symptomatic This is NEW YORK POTUS says the US is best prepared country in the world But were closing borders instead of treating our own Shameful Covid19 Corona CoronaOutbreak,outrageous,Negative
121,Canada shut down the borders with America until they get their testing straight,,Neutral
122,hockey postponedless than an hour latercanada i see you,,Neutral
123,RT Its time for a mega FELIX EVER AFTER giveawayThere will be THREE 3 winners ownvoices YA starring a trans demiboyenemies to loversmutual pining romancefull of warmth love and supportRT by tomorrow Thursday 312 at 11pm ET to enter USCanada only,winners,Positive
124,RT If you ever wanted to see what capitalism rewards here is an example a couple that made 100K selling Lysol wipes,,Neutral
125,CTVNews If thats the case When will our leader JustinTrudeau and the liberalparty of Canada stop all international travel and close our borders Its not being xenophobia cdnpoli,,Neutral
126,RT To put US covid19 testing failure in context Canada has now tested more than 7600 people over a 1000 more than USand is 110 the sizeAlso tests are free,failure,Negative
127,RT Canada is doing nothing82 flights from China per week We have wide open borders We will have to see what h,,Neutral
128,literally the best news this year,best,Positive
129,Crazy Every game Every player Every coach Every referee Postponed for at least 3 weeks,,Neutral
130,RT As of today we are directing all event organizers to cancel any gathering larger than 250ppl We are recommending,,Neutral
131,RT Some good news to cheer you upKorea and China are recovering Vietnam had their cases under control until British,good,Positive
132,RT THANK YOU University of North Carolina The BlueCollarKid is flipping the page to a New Chapter 55 OUT,,Neutral
